LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,road_number
LRP013a,13.637,Bridge,Start of Bridge,22.9796104,89.9487774,Z8430
LRP013b,13.657,Bridge,End of Bridge,22.9796938,89.9655278,Z8430
LRP014,13.96,Km Post,Km Post Missing,22.9806938,89.9494719,Z8430
LRP014a,14.563,Bridge,Start of Bridge,22.9981941,89.9560833,Z8430
LRP014b,14.589,Bridge,End of Bridge,22.981666,89.95625,Z8430
LRP015,14.96,Km Post,Km Post Missing,22.982416,89.9578889,Z8430
LRP015a,15.49,Bridge,Start of Bridge,22.9901108,89.9586389,Z8430
LRP015b,15.505,Bridge,End of Bridge,22.9901941,89.9587222,Z8430
LRP016,15.96,Km Post,Km Post Missing,22.9907219,89.9593611,Z8430
LRP016a,16.52,Bridge,Start of Bridge,22.9982497,89.9624167,Z8430
LRP016b,16.55,Bridge,End of Bridge,22.9984719,89.9625,Z8430
LRP017,16.96,Km Post,K post missing,22.9988608,89.9625833,Z8430
LRP018,17.59,Km Post,K post missing,23.0024444,89.9679993,Z8430
LRP018a,17.885,Bridge,Start of Bridge,23.0036389,89.9702771,Z8430
LRP018b,17.9,Bridge,End of Bridge,23.0036944,89.9703327,Z8430
LRP019,17.96,Km Post,Km post missing,0,0,Z8430
LRPE,18.26,Others,End at Majbari and intersect with Z8031 Kotalipara.,23.0066667,89.971666,Z8430
,,,,,,Z8430
,,,,,,Z8430
"LRPs of Z8430 ,","LRPs of Z8430 ,","LRPs of Z8430 ,","LRPs of Z8430 ,","LRPs of Z8430 ,","LRPs of Z8430 ,",Z8430
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,Z8430
LRPS,0,Others,Road start from Z7704 at Tungipara intront of Tangipara auditorium,22.9056111,89.8808327,Z8430
LRP001,0.052,Km Post,Km Post Established,22.9059167,89.8727216,Z8430
LRP001a,0.346,Culvert,Box Culvert,22.9080556,89.8825549,Z8430
LRP001b,0.815,Culvert,Box Culvert,22.9104167,89.8862774,Z8430
LRP001c,0.906,Bridge,Start of Bridge,22.9108056,89.8870274,Z8430
LRP001d,0.92,Bridge,End of Bridge,22.9108056,89.8870274,Z8430
LRP001e,1.08,Culvert,Box Culvert,22.9114167,89.8885274,Z8430
LRP001f,1.29,Bridge,Start of Bridge,22.9122222,89.8904163,Z8430
LRP001g,1.31,Bridge,End of Bridge,22.9123056,89.8906386,Z8430
LRP001h,1.53,Culvert,Box Culvert,22.9092778,89.8926108,Z8430
LRP002,2,Km Post,Km post Established,22.9124444,89.8972219,Z8430
LRP002a,2.02,Culvert,Box culvert,22.9124444,89.8974163,Z8430
LRP002b,2.15,Culvert,Box Culvert,22.9124444,89.8986108,Z8430
LRP002c,2.37,Bridge,Start of Bridge,22.9123611,89.9007778,Z8430
LRP002d,2.51,Bridge,End of Bridge,22.9121389,89.9020278,Z8430
LRP003,2.95,Km Post,Km Post Established,22.9021111,89.9158056,Z8430
LRP003a,3.07,Bridge,Start of Bridge,22.9168049,89.9023333,Z8430
LRP003b,3.1,Bridge,End of Bridge,22.9170549,89.9024167,Z8430
LRP003c,3.41,Culvert,Box Culvert,22.919666,89.9034444,Z8430
LRP004,3.96,Km Post,Km Post Established,22.9240271,89.9053889,Z8430
LRP004a,4.248,Culvert,Box Culvert,22.9266104,89.9061944,Z8430
LRP005,4.96,Km Post,Km Post Missing,22.9305271,89.9090833,Z8430
LRP005a,5.26,Bridge,Start of Bridge,22.934333,89.9105833,Z8430
LRP005b,5.305,Bridge,End of Bridge,22.9347774,89.9105556,Z8430
LRP006,5.96,Km Post,Km Post Missing,22.9380274,89.9123333,Z8430
LRP006a,6.401,Bridge,Start of Bridge,22.9431386,89.9135833,Z8430
LRP006b,6.461,Bridge,End of Bridge,22.9108611,89.9137222,Z8430
LRP007,6.96,Km Post,Km Post Missing,22.9382219,89.9146944,Z8430
LRP007a,7.02,Culvert,Box Culvert,22.9484441,89.9153333,Z8430
LRP008,7.785,Km Post,Km Post Missing,22.9539444,89.9186938,Z8430
LRP009,8.96,Km Post,Km Post Missing,22.96,89.9246104,Z8430
LRP009a,9.273,Culvert,Start of Bridge,22.9645278,89.9281382,Z8430
LRP009b,9.329,Bridge,End of Bridge,22.9622778,89.928416,Z8430
LRP009c,9.571,Culvert,Box Culvert,22.9643611,89.9289438,Z8430
LRP010,9.96,Km Post,Km Post Missing,22.9663056,89.9291382,Z8430
LRP010a,10.407,Culvert,Box Culvert,22.9711382,89.9310549,Z8430
LRP011,10.96,Km Post,Km Post Missing,22.9746382,89.9313604,Z8430
LRP012,11.96,Km Post,Km Post Missing,22.9736382,89.9374997,Z8430
LRP012a,12.398,Bridge,Start of Bridge,22.9705549,89.9421663,Z8430
LRP012b,12.421,Bridge,End of Bridge,22.9704993,89.942333,Z8430
LRP012c,12.562,Bridge,Start of Bridge,22.9713882,89.9431108,Z8430
LRP012d,12.6,Bridge,End of Bridge,22.9717493,89.9432774,Z8430
LRP013,12.96,Km Post,Km Post Missing,22.9732771,89.9441386,Z8430
LRP013a,13.637,Bridge,Start of Bridge,22.9796104,89.9487774,Z8430
LRP013b,13.657,Bridge,End of Bridge,22.9796938,89.9655278,Z8430
LRP014,13.96,Km Post,Km Post Missing,22.9806938,89.9494719,Z8430
LRP014a,14.563,Bridge,Start of Bridge,22.9981941,89.9560833,Z8430
LRP014b,14.589,Bridge,End of Bridge,22.981666,89.95625,Z8430
LRP015,14.96,Km Post,Km Post Missing,22.982416,89.9578889,Z8430
LRP015a,15.49,Bridge,Start of Bridge,22.9901108,89.9586389,Z8430
LRP015b,15.505,Bridge,End of Bridge,22.9901941,89.9587222,Z8430
LRP016,15.96,Km Post,Km Post Missing,22.9907219,89.9593611,Z8430
LRP016a,16.52,Bridge,Start of Bridge,22.9982497,89.9624167,Z8430
LRP016b,16.55,Bridge,End of Bridge,22.9984719,89.9625,Z8430
LRP017,16.96,Km Post,K post missing,22.9988608,89.9625833,Z8430
LRP018,17.59,Km Post,K post missing,23.0024444,89.9679993,Z8430
LRP018a,17.885,Bridge,Start of Bridge,23.0036389,89.9702771,Z8430
LRP018b,17.9,Bridge,End of Bridge,23.0036944,89.9703327,Z8430
LRP019,17.96,Km Post,Km post missing,0,0,Z8430
LRPE,18.26,Others,End at Majbari and intersect with Z8031 Kotalipara.,23.0066667,89.971666,Z8430
LRPS,0,Others,Start of road at Mazar Tungipara,22.9065278,89.8966108,Z8504
LRPSa,0.3,Bridge,Start of bridge,22.9082222,89.8977219,Z8504
LRPSb,0.308,Bridge,End of Bridge,22.9082222,89.8976386,Z8504
LRPSc,0.57,Bridge,Start of Bridge,22.9059444,89.8931108,Z8504
LRPSd,0.585,Bridge,End of Bridge,22.9058611,89.8931941,Z8504
LRP001,1,Km Post,Km post missing,22.9022222,89.8894441,Z8504
LRP001a,1.57,"Side Road, Left",Left Z8429,22.8974997,89.890833,Z8504
LRPE,1.87,Others,End of road at patgati bus stand and intersect with Z7704,22.8949441,89.8905552,Z8504
,,,,,,Z8504
,,,,,,Z8504
,,,,,,Z8504
,,,,,,Z8504
,,,,,,Z8504
"LRPs of Z8504 ,","LRPs of Z8504 ,","LRPs of Z8504 ,","LRPs of Z8504 ,","LRPs of Z8504 ,","LRPs of Z8504 ,",Z8504
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,Z8504
LRPS,0,Others,Start of road at Mazar Tungipara,22.9065278,89.8966108,Z8504
LRPSa,0.3,Bridge,Start of bridge,22.9082222,89.8977219,Z8504
LRPSb,0.308,Bridge,End of Bridge,22.9082222,89.8976386,Z8504
LRPSc,0.57,Bridge,Start of Bridge,22.9059444,89.8931108,Z8504
LRPSd,0.585,Bridge,End of Bridge,22.9058611,89.8931941,Z8504
LRP001,1,Km Post,Km post missing,22.9022222,89.8894441,Z8504
LRP001a,1.57,"Side Road, Left",Left Z8429,22.8974997,89.890833,Z8504
LRPE,1.87,Others,End of road at patgati bus stand and intersect with Z7704,22.8949441,89.8905552,Z8504
,,,,,,Z8504
,,,,,,Z8504
"LRPs of Z8504 ,","LRPs of Z8504 ,","LRPs of Z8504 ,","LRPs of Z8504 ,","LRPs of Z8504 ,","LRPs of Z8504 ,",Z8504
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,Z8504
LRPS,0,Others,Start of road at Mazar Tungipara,22.9065278,89.8966108,Z8504
LRPSa,0.3,Bridge,Start of bridge,22.9082222,89.8977219,Z8504
LRPSb,0.308,Bridge,End of Bridge,22.9082222,89.8976386,Z8504
LRPSc,0.57,Bridge,Start of Bridge,22.9059444,89.8931108,Z8504
LRPSd,0.585,Bridge,End of Bridge,22.9058611,89.8931941,Z8504
LRP001,1,Km Post,Km post missing,22.9022222,89.8894441,Z8504
LRP001a,1.57,"Side Road, Left",Left Z8429,22.8974997,89.890833,Z8504
LRPE,1.87,Others,End of road at patgati bus stand and intersect with Z7704,22.8949441,89.8905552,Z8504
LRPS,0,Others,Start of road at Burirhat and Intersect with R860.,23.1808327,90.3869719,Z8601
LRPSa,0.015,Bridge,Start of bridge,23.1807493,90.387083,Z8601
LRPSb,0.06,Bridge,End of bridge,23.1804993,92.3874163,Z8601
LRP001,0.98,Km Post,"Goshairhat 15 km,Damudia 8 km,Koneswar 4 km",23.1756104,90.3934719,Z8601
LRP001a,1.188,Bridge,Start of bridge,23.1745271,90.3949997,Z8601
LRP001b,1.198,Bridge,End of bridge,23.1744993,90.3950552,Z8601
LRP002,1.92,Km Post,"Goshairhat 14 km,Damudia 7 km,Koneswer 3 km",23.1685271,90.3976108,Z8601
LRP002a,1.954,Culvert,Box culvert,23.1684716,90.3977497,Z8601
LRP003,2.88,Km Post,"Goshairhat 13 km,Damudia 6 km,Koneswar 2 km",23.1631389,90.4040556,Z8601
LRP003a,2.92,Bridge,Start of bridge,23.1627778,90.4041111,Z8601
LRP003b,2.93,Bridge,End of bridge,23.1627778,90.4041111,Z8601
LRP004,3.84,Km Post,"Goshairhat 12 km Damudia 5 km,Koneswar 1 km",23.1556111,90.4076944,Z8601
LRP004a,4.3,Bridge,Start of bridge,23.1514167,90.4080278,Z8601
LRP004b,4.335,Bridge,End of bridge,23.1510833,90.4080556,Z8601
LRP005,4.78,Km Post,"Goshairhat 11 km,Damudia 4 km,Koneswar 00 km",23.1471386,90.4090278,Z8601
LRP005a,4.932,"Side Road, Left",Z8605 to Damudia,23.1460274,90.40925,Z8601
LRP006,5.78,Km Post,Goshairhat 10 km,23.1391108,90.4123333,Z8601
LRP006a,6.542,Bridge,Start of bridge,23.1327493,90.4149444,Z8601
LRP006b,6.582,Bridge,End of bridge,23.1324716,90.415,Z8601
LRP007,6.75,Km Post,Goshairhat 9 km,23.1308604,90.4153056,Z8601
LRP007a,7.565,Bridge,Start of bridge,23.1237493,90.4160833,Z8601
LRP007b,7.59,Bridge,End of bridge,23.1235271,90.4161111,Z8601
LRP008,7.75,Km Post,Km post missing,23.1220271,90.4164444,Z8601
LRP008a,8.559,Culvert,Box culvert,23.1159167,90.4196938,Z8601
LRP009,8.74,Km Post,Goshairhat 7 km,23.11475,90.4208327,Z8601
LRP009a,8.9,Bridge,Start of bridge,23.1134722,90.4220271,Z8601
LRP009b,8.935,Bridge,End of bridge,23.1133056,90.4221938,Z8601
LRP009c,9.574,Culvert,Box culvert,23.1092222,90.4263049,Z8601
LRP010,9.73,Km Post,Goshairhat 6 km,23.1080556,90.4269716,Z8601
LRP010a,9.79,Bridge,Start of bridge,23.10775,90.4264716,Z8601
LRP010b,9.802,Bridge,End of bridge,23.1076944,90.4263882,Z8601
LRP011,10.73,Km Post,Km post broken,23.1016944,90.424166,Z8601
LRP011a,10.78,Bridge,Start of bridge,23.1011111,90.4239993,Z8601
LRP011b,10.83,Bridge,End of bridge,23.1007222,90.423916,Z8601
LRP012,11.69,Km Post,Km post broken,23.0946663,90.425916,Z8601
LRP012a,12.27,Bridge,Start of bridge,23.0901941,90.4232216,Z8601
LRP012b,12.3,Bridge,End of bridge,23.0899997,90.4230827,Z8601
LRP013,12.65,Km Post,Goshairhat 3 km,23.0870274,90.4233049,Z8601
LRP013a,13.03,Bridge,Start of bridge,23.0837219,90.4233327,Z8601
LRP013b,13.098,Bridge,End of bridge,23.0831382,90.4235271,Z8601
LRP014,13.63,Km Post,Goshairhat 2 km,23.0808604,90.4263882,Z8601
LRP014a,13.97,Culvert,Box culvert,23.0784993,90.4282771,Z8601
LRP015,14.54,Km Post,Goshairhat 1 km,23.0758604,90.431666,Z8601
LRP015a,15.28,Bridge,Start of bridge,23.070166,90.4323327,Z8601
LRP015b,15.293,Bridge,End of bridge,23.070166,90.432416,Z8601
LRP016,15.56,Km Post,Km post broken,23.0697771,90.4349997,Z8601
LRPE,16.012,Others,"End of road at Badamtola,Goshairhat bas tand,Shariatpur .",23.0689438,90.4386941,Z8601
,,,,,,Z8601
,,,,,,Z8601
,,,,,,Z8601
,,,,,,Z8601
,,,,,,Z8601
"LRPs of Z8601 ,","LRPs of Z8601 ,","LRPs of Z8601 ,","LRPs of Z8601 ,","LRPs of Z8601 ,","LRPs of Z8601 ,",Z8601
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,Z8601
LRPS,0,Others,Start of road at Burirhat and Intersect with R860.,23.1808327,90.3869719,Z8601
LRPSa,0.015,Bridge,Start of bridge,23.1807493,90.387083,Z8601
LRPSb,0.06,Bridge,End of bridge,23.1804993,92.3874163,Z8601
LRP001,0.98,Km Post,"Goshairhat 15 km,Damudia 8 km,Koneswar 4 km",23.1756104,90.3934719,Z8601
LRP001a,1.188,Bridge,Start of bridge,23.1745271,90.3949997,Z8601
LRP001b,1.198,Bridge,End of bridge,23.1744993,90.3950552,Z8601
LRP002,1.92,Km Post,"Goshairhat 14 km,Damudia 7 km,Koneswer 3 km",23.1685271,90.3976108,Z8601
LRP002a,1.954,Culvert,Box culvert,23.1684716,90.3977497,Z8601
LRP003,2.88,Km Post,"Goshairhat 13 km,Damudia 6 km,Koneswar 2 km",23.1631389,90.4040556,Z8601
LRP003a,2.92,Bridge,Start of bridge,23.1627778,90.4041111,Z8601
LRP003b,2.93,Bridge,End of bridge,23.1627778,90.4041111,Z8601
LRP004,3.84,Km Post,"Goshairhat 12 km Damudia 5 km,Koneswar 1 km",23.1556111,90.4076944,Z8601
LRP004a,4.3,Bridge,Start of bridge,23.1514167,90.4080278,Z8601
LRP004b,4.335,Bridge,End of bridge,23.1510833,90.4080556,Z8601
LRP005,4.78,Km Post,"Goshairhat 11 km,Damudia 4 km,Koneswar 00 km",23.1471386,90.4090278,Z8601
LRP005a,4.932,"Side Road, Left",Z8605 to Damudia,23.1460274,90.40925,Z8601
LRP006,5.78,Km Post,Goshairhat 10 km,23.1391108,90.4123333,Z8601
LRP006a,6.542,Bridge,Start of bridge,23.1327493,90.4149444,Z8601
LRP006b,6.582,Bridge,End of bridge,23.1324716,90.415,Z8601
LRP007,6.75,Km Post,Goshairhat 9 km,23.1308604,90.4153056,Z8601
LRP007a,7.565,Bridge,Start of bridge,23.1237493,90.4160833,Z8601
LRP007b,7.59,Bridge,End of bridge,23.1235271,90.4161111,Z8601
LRP008,7.75,Km Post,Km post missing,23.1220271,90.4164444,Z8601
LRP008a,8.559,Culvert,Box culvert,23.1159167,90.4196938,Z8601
LRP009,8.74,Km Post,Goshairhat 7 km,23.11475,90.4208327,Z8601
LRP009a,8.9,Bridge,Start of bridge,23.1134722,90.4220271,Z8601
LRP009b,8.935,Bridge,End of bridge,23.1133056,90.4221938,Z8601
LRP009c,9.574,Culvert,Box culvert,23.1092222,90.4263049,Z8601
LRP010,9.73,Km Post,Goshairhat 6 km,23.1080556,90.4269716,Z8601
LRP010a,9.79,Bridge,Start of bridge,23.10775,90.4264716,Z8601
LRP010b,9.802,Bridge,End of bridge,23.1076944,90.4263882,Z8601
LRP011,10.73,Km Post,Km post broken,23.1016944,90.424166,Z8601
LRP011a,10.78,Bridge,Start of bridge,23.1011111,90.4239993,Z8601
LRP011b,10.83,Bridge,End of bridge,23.1007222,90.423916,Z8601
LRP012,11.69,Km Post,Km post broken,23.0946663,90.425916,Z8601
LRP012a,12.27,Bridge,Start of bridge,23.0901941,90.4232216,Z8601
LRP012b,12.3,Bridge,End of bridge,23.0899997,90.4230827,Z8601
LRP013,12.65,Km Post,Goshairhat 3 km,23.0870274,90.4233049,Z8601
LRP013a,13.03,Bridge,Start of bridge,23.0837219,90.4233327,Z8601
LRP013b,13.098,Bridge,End of bridge,23.0831382,90.4235271,Z8601
LRP014,13.63,Km Post,Goshairhat 2 km,23.0808604,90.4263882,Z8601
LRP014a,13.97,Culvert,Box culvert,23.0784993,90.4282771,Z8601
LRP015,14.54,Km Post,Goshairhat 1 km,23.0758604,90.431666,Z8601
LRP015a,15.28,Bridge,Start of bridge,23.070166,90.4323327,Z8601
LRP015b,15.293,Bridge,End of bridge,23.070166,90.432416,Z8601
LRP016,15.56,Km Post,Km post broken,23.0697771,90.4349997,Z8601
LRPE,16.012,Others,"End of road at Badamtola,Goshairhat bas tand,Shariatpur .",23.0689438,90.4386941,Z8601
,,,,,,Z8601
,,,,,,Z8601
"LRPs of Z8601 ,","LRPs of Z8601 ,","LRPs of Z8601 ,","LRPs of Z8601 ,","LRPs of Z8601 ,","LRPs of Z8601 ,",Z8601
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,Z8601
LRPS,0,Others,Start of road at Burirhat and Intersect with R860.,23.1808327,90.3869719,Z8601
LRPSa,0.015,Bridge,Start of bridge,23.1807493,90.387083,Z8601
LRPSb,0.06,Bridge,End of bridge,23.1804993,92.3874163,Z8601
LRP001,0.98,Km Post,"Goshairhat 15 km,Damudia 8 km,Koneswar 4 km",23.1756104,90.3934719,Z8601
LRP001a,1.188,Bridge,Start of bridge,23.1745271,90.3949997,Z8601
LRP001b,1.198,Bridge,End of bridge,23.1744993,90.3950552,Z8601
LRP002,1.92,Km Post,"Goshairhat 14 km,Damudia 7 km,Koneswer 3 km",23.1685271,90.3976108,Z8601
LRP002a,1.954,Culvert,Box culvert,23.1684716,90.3977497,Z8601
LRP003,2.88,Km Post,"Goshairhat 13 km,Damudia 6 km,Koneswar 2 km",23.1631389,90.4040556,Z8601
LRP003a,2.92,Bridge,Start of bridge,23.1627778,90.4041111,Z8601
LRP003b,2.93,Bridge,End of bridge,23.1627778,90.4041111,Z8601
LRP004,3.84,Km Post,"Goshairhat 12 km Damudia 5 km,Koneswar 1 km",23.1556111,90.4076944,Z8601
LRP004a,4.3,Bridge,Start of bridge,23.1514167,90.4080278,Z8601
LRP004b,4.335,Bridge,End of bridge,23.1510833,90.4080556,Z8601
LRP005,4.78,Km Post,"Goshairhat 11 km,Damudia 4 km,Koneswar 00 km",23.1471386,90.4090278,Z8601
LRP005a,4.932,"Side Road, Left",Z8605 to Damudia,23.1460274,90.40925,Z8601
LRP006,5.78,Km Post,Goshairhat 10 km,23.1391108,90.4123333,Z8601
LRP006a,6.542,Bridge,Start of bridge,23.1327493,90.4149444,Z8601
LRP006b,6.582,Bridge,End of bridge,23.1324716,90.415,Z8601
LRP007,6.75,Km Post,Goshairhat 9 km,23.1308604,90.4153056,Z8601
LRP007a,7.565,Bridge,Start of bridge,23.1237493,90.4160833,Z8601
LRP007b,7.59,Bridge,End of bridge,23.1235271,90.4161111,Z8601
LRP008,7.75,Km Post,Km post missing,23.1220271,90.4164444,Z8601
LRP008a,8.559,Culvert,Box culvert,23.1159167,90.4196938,Z8601
LRP009,8.74,Km Post,Goshairhat 7 km,23.11475,90.4208327,Z8601
LRP009a,8.9,Bridge,Start of bridge,23.1134722,90.4220271,Z8601
LRP009b,8.935,Bridge,End of bridge,23.1133056,90.4221938,Z8601
LRP009c,9.574,Culvert,Box culvert,23.1092222,90.4263049,Z8601
LRP010,9.73,Km Post,Goshairhat 6 km,23.1080556,90.4269716,Z8601
LRP010a,9.79,Bridge,Start of bridge,23.10775,90.4264716,Z8601
LRP010b,9.802,Bridge,End of bridge,23.1076944,90.4263882,Z8601
LRP011,10.73,Km Post,Km post broken,23.1016944,90.424166,Z8601
LRP011a,10.78,Bridge,Start of bridge,23.1011111,90.4239993,Z8601
LRP011b,10.83,Bridge,End of bridge,23.1007222,90.423916,Z8601
LRP012,11.69,Km Post,Km post broken,23.0946663,90.425916,Z8601
LRP012a,12.27,Bridge,Start of bridge,23.0901941,90.4232216,Z8601
LRP012b,12.3,Bridge,End of bridge,23.0899997,90.4230827,Z8601
LRP013,12.65,Km Post,Goshairhat 3 km,23.0870274,90.4233049,Z8601
LRP013a,13.03,Bridge,Start of bridge,23.0837219,90.4233327,Z8601
LRP013b,13.098,Bridge,End of bridge,23.0831382,90.4235271,Z8601
LRP014,13.63,Km Post,Goshairhat 2 km,23.0808604,90.4263882,Z8601
LRP014a,13.97,Culvert,Box culvert,23.0784993,90.4282771,Z8601
LRP015,14.54,Km Post,Goshairhat 1 km,23.0758604,90.431666,Z8601
LRP015a,15.28,Bridge,Start of bridge,23.070166,90.4323327,Z8601
LRP015b,15.293,Bridge,End of bridge,23.070166,90.432416,Z8601
LRP016,15.56,Km Post,Km post broken,23.0697771,90.4349997,Z8601
LRPE,16.012,Others,"End of road at Badamtola,Goshairhat bas tand,Shariatpur .",23.0689438,90.4386941,Z8601
LRPS,0,Others,Start of road from Z8601 at Kaneswar.,23.1460274,90.40925,Z8605
LRPSa,0.81,Culvert,Box Culvert,23.1468608,90.4169716,Z8605
LRP001,0.836,Km Post,Inf missing,23.1468608,90.417166,Z8605
LRP002,1.835,Km Post,Km Post Missing,23.1455552,90.4280549,Z8605
LRP003,2.835,Km Post,Km Post Missing,23.1447219,90.4380552,Z8605
LRP003a,3.043,Culvert,Box Culvert,23.1447219,90.4375552,Z8605
LRPE,3.586,Others,End of at Damudya Bus stand Shariatpur.,23.1444997,90.4428052,Z8605
,,,,,,Z8605
,,,,,,Z8605
,,,,,,Z8605
,,,,,,Z8605
,,,,,,Z8605
"LRPs of Z8605 ,","LRPs of Z8605 ,","LRPs of Z8605 ,","LRPs of Z8605 ,","LRPs of Z8605 ,","LRPs of Z8605 ,",Z8605
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,Z8605
LRPS,0,Others,Start of road from Z8601 at Kaneswar.,23.1460274,90.40925,Z8605
LRPSa,0.81,Culvert,Box Culvert,23.1468608,90.4169716,Z8605
LRP001,0.836,Km Post,Inf missing,23.1468608,90.417166,Z8605
LRP002,1.835,Km Post,Km Post Missing,23.1455552,90.4280549,Z8605
LRP003,2.835,Km Post,Km Post Missing,23.1447219,90.4380552,Z8605
LRP003a,3.043,Culvert,Box Culvert,23.1447219,90.4375552,Z8605
LRPE,3.586,Others,End of at Damudya Bus stand Shariatpur.,23.1444997,90.4428052,Z8605
,,,,,,Z8605
,,,,,,Z8605
"LRPs of Z8605 ,","LRPs of Z8605 ,","LRPs of Z8605 ,","LRPs of Z8605 ,","LRPs of Z8605 ,","LRPs of Z8605 ,",Z8605
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,Z8605
LRPS,0,Others,Start of road from Z8601 at Kaneswar.,23.1460274,90.40925,Z8605
LRPSa,0.81,Culvert,Box Culvert,23.1468608,90.4169716,Z8605
LRP001,0.836,Km Post,Inf missing,23.1468608,90.417166,Z8605
LRP002,1.835,Km Post,Km Post Missing,23.1455552,90.4280549,Z8605
LRP003,2.835,Km Post,Km Post Missing,23.1447219,90.4380552,Z8605
LRP003a,3.043,Culvert,Box Culvert,23.1447219,90.4375552,Z8605
LRPE,3.586,Others,End of at Damudya Bus stand Shariatpur.,23.1444997,90.4428052,Z8605
LRPS,0,Others,Start from Z-8602 at Pachani Bari.,23.2559722,90.3880274,Z8606
LRP001,0.125,Km Post,Info missing,23.2568889,90.3883052,Z8606
LRP001a,0.261,Bridge,Start of Bridge,23.2580556,90.388833,Z8606
LRP001b,0.277,Bridge,End of Bridge,23.2581944,90.3888886,Z8606
LRP001c,0.649,Culvert,Box culvert,23.2614167,90.3898886,Z8606
LRP001d,0.794,Culvert,Box culvert,23.2626111,90.3901386,Z8606
LRPE,0.9,Others,End at Moshora and intersection Z8602.,23.2636389,90.3901663,Z8606
,,,,,,Z8606
,,,,,,Z8606
,,,,,,Z8606
,,,,,,Z8606
,,,,,,Z8606
"LRPs of Z8606 ,","LRPs of Z8606 ,","LRPs of Z8606 ,","LRPs of Z8606 ,","LRPs of Z8606 ,","LRPs of Z8606 ,",Z8606
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,Z8606
LRPS,0,Others,Start from Z-8602 at Pachani Bari.,23.2559722,90.3880274,Z8606
LRP001,0.125,Km Post,Info missing,23.2568889,90.3883052,Z8606
LRP001a,0.261,Bridge,Start of Bridge,23.2580556,90.388833,Z8606
LRP001b,0.277,Bridge,End of Bridge,23.2581944,90.3888886,Z8606
LRP001c,0.649,Culvert,Box culvert,23.2614167,90.3898886,Z8606
LRP001d,0.794,Culvert,Box culvert,23.2626111,90.3901386,Z8606
LRPE,0.9,Others,End at Moshora and intersection Z8602.,23.2636389,90.3901663,Z8606
,,,,,,Z8606
,,,,,,Z8606
"LRPs of Z8606 ,","LRPs of Z8606 ,","LRPs of Z8606 ,","LRPs of Z8606 ,","LRPs of Z8606 ,","LRPs of Z8606 ,",Z8606
LRP No,Road Chainage,LRP TYPE,Description,Latitude Decimal,Longitued Decimal,Z8606
LRPS,0,Others,Start from Z-8602 at Pachani Bari.,23.2559722,90.3880274,Z8606
LRP001,0.125,Km Post,Info missing,23.2568889,90.3883052,Z8606
LRP001a,0.261,Bridge,Start of Bridge,23.2580556,90.388833,Z8606
LRP001b,0.277,Bridge,End of Bridge,23.2581944,90.3888886,Z8606
LRP001c,0.649,Culvert,Box culvert,23.2614167,90.3898886,Z8606
LRP001d,0.794,Culvert,Box culvert,23.2626111,90.3901386,Z8606
LRPE,0.9,Others,End at Moshora and intersection Z8602.,23.2636389,90.3901663,Z8606
LRPS,0,Others,Start from Naria in front of Rridoy store.,23.3088611,90.4037778,Z8607
LRP001,1,Km Post,Km post missing,23.3035556,90.3981663,Z8607
LRP002,2,Km Post,Km post missing,23.2998886,90.3902219,Z8607
LRP002a,2.139,Culvert,Start of Box Culvert,23.2994163,90.3890274,Z8607
LRP002b,2.153,Culvert,End of Box Culvert,23.2993886,90.3889163,Z8607
LRP002c,2.7,Others,Start WBM road,23.295833,90.3856663,Z8607
LRP003,3,Km Post,Km post missing,23.2940552,90.3835552,Z8607
LRP003a,3.487,Culvert,Star of Box Culvert,23.2908608,90.3970552,Z8607
LRP003b,3.5,Culvert,End of Box Culvert,23.290833,90.3803049,Z8607
LRP003c,3.629,Bridge,Start of Bridge,23.2899997,90.3794716,Z8607
LRP003d,3.654,Bridge,End of Bridge,23.2898608,90.3793049,Z8607
LRP003e,3.66,Others,Start Earth road,23.2898608,90.3793049,Z8607
LRP004,4,Km Post,Km post missing,23.2908608,90.3763327,Z8607
LRP004a,4.282,Culvert,Start of Box Culvert,23.2924997,90.374416,Z8607
LRP004b,4.96,Culvert,End of Box Culvert,23.2926108,90.3743604,Z8607
LRP005,5,Km Post,Km post missing,23.2889441,90.3693327,Z8607
LRP005a,5.427,Culvert,Start of Box Culvert,23.2880274,90.3822493,Z8607
LRP005b,5.437,Culvert,End of Box Culvert,23.283333,90.3654722,Z8607
LRP005c,5.774,Culvert,Start of Box Culvert,23.2872219,90.3633611,Z8607
LRP005d,5.785,Culvert,End of Box Culvert,23.2871941,90.3633333,Z8607
LRP006,6,Km Post,Km post missing,23.2897774,90.3613889,Z8607
LRP006a,6.388,Culvert,Start of Box Culvert,23.2858052,90.3583889,Z8607
